pathway,level1,level2,level3,ONF1,ONF2,ONF3,ONF4,ONF5,ONA1,ONA2,ONA3,ONA4,ONA5,ONJ1,ONJ2,ONJ3,ONJ4,ONJ5,ONO1,ONO2,ONO3,ONO5
ko00053,Ascorbate and aldarate metabolism,Carbohydrate metabolism,Metabolism,0.002235247,0.002235247,0,0.002226369,0,0,0.002134823,0.002081332,0.002201704,0.001976953,0.001996969,0.002113465,0.001950437,0.002066151,0.002202057,0,0.002145564,0.002133281,0
ko00500,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,0.000943771,0.000943771,0,0.001038769,0,0,0.002398636,0.004129026,0.001302705,0.005966481,0.005334876,0.002246891,0.006803238,0.003844381,0.001298926,0,0.001903423,0.002034858,0
ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism,0.003477051,0.003477051,0,0.003696393,0,0,0.006195852,0.008241233,0.004305795,0.011270415,0.010514993,0.00648583,0.012271207,0.008336841,0.004297069,0,0.005692796,0.005996266,0
ko00562,Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism,0.000943771,0.000943771,0,0.001052484,0,0,0.001769976,0.00119624,0.001354524,0.001709797,0.001907633,0.002435022,0.001447703,0.001856525,0.001350199,0,0.002041968,0.002192377,0
ko00620,Pyruvate metabolism,Carbohydrate metabolism,Metabolism,0.015199682,0.015199682,0,0.014800556,0,0,0.011626928,0.012090645,0.013691655,0.009183037,0.00904885,0.009724743,0.00936081,0.010300696,0.013707533,0,0.011167791,0.010615581,0
ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism,0.013262468,0.013262468,0,0.012998584,0,0,0.010708729,0.010431887,0.012265429,0.008146473,0.008268065,0.009642686,0.007985386,0.009473704,0.012275926,0,0.010596764,0.010231667,0
ko00640,Propanoate metabolism,Carbohydrate metabolism,Metabolism,0.019719849,0.019719849,0,0.018977729,0,0,0.012976394,0.013532861,0.01691588,0.00793631,0.007797022,0.009539948,0.00812084,0.01032274,0.016945402,0,0.0122231,0.011196339,0
ko00650,Butanoate metabolism,Carbohydrate metabolism,Metabolism,0.015497715,0.015497715,0,0.015039803,0,0,0.011191918,0.011094129,0.013767576,0.007366378,0.007439454,0.00921639,0.007269566,0.009283699,0.013785792,0,0.010871981,0.010238437,0
ko00660,C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism,0.003377707,0.003377707,0,0.003253202,0,0,0.002267197,0.002424016,0.002907285,0.001524569,0.001478325,0.001669824,0.001585834,0.001860953,0.002912238,0,0.002119977,0.001947717,0
ko00190,Oxidative phosphorylation,Energy metabolism,Metabolism,0.006407709,0.006407709,0,0.006433004,0,0,0.006791301,0.007240512,0.00650328,0.007722585,0.007558568,0.006754683,0.007939878,0.007169173,0.006502274,0,0.00666323,0.006698226,0
ko00195,Photosynthesis,Energy metabolism,Metabolism,0.000794755,0.000794755,0,0.00080257,0,0,0.000931763,0.001126862,0.000824283,0.001310845,0.001239871,0.000901959,0.001404871,0.001083082,0.000823972,0,0.000873703,0.000884515,0
ko00680,Methane metabolism,Energy metabolism,Metabolism,0.004520167,0.004520167,0,0.004547473,0,0,0.004956775,0.005510273,0.004623336,0.006073343,0.005871567,0.004894727,0.006340659,0.005406788,0.00462225,0,0.004796003,0.004833782,0
ko00710,Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism,0.001639181,0.001639181,0,0.001645014,0,0,0.001814413,0.002182245,0.00166122,0.002457834,0.002324759,0.001719192,0.002634133,0.002063774,0.001660988,0,0.001698103,0.001706173,0
ko00720,Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism,0.009139678,0.009139678,0,0.008886683,0,0,0.006973257,0.007566377,0.008183781,0.005909488,0.005716583,0.005669264,0.00616505,0.006316269,0.008193846,0,0.006583973,0.006233942,0
ko00910,Nitrogen metabolism,Energy metabolism,Metabolism,0.003526724,0.003526724,0,0.003578547,0,0,0.003916025,0.003628665,0.00372253,0.003864855,0.003964159,0.004237605,0.003733295,0.003948775,0.003720468,0,0.004050235,0.004121936,0
ko00920,Sulfur metabolism,Energy metabolism,Metabolism,0.005165905,0.005165905,0,0.005415569,0,0,0.006868948,0.004959456,0.006109215,0.005770567,0.006438262,0.008590623,0.004885996,0.006704342,0.006099283,0,0.007687958,0.00803338,0
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.001639181,0.001639181,0,0.001699873,0,0,0.002199841,0.002182245,0.001868496,0.00265731,0.00265864,0.002471714,0.002655549,0.002433998,0.001866081,0,0.00225228,0.002336251,0
ko00670,One carbon pool by folate,Metabolism of cofactors and vitamins,Metabolism,0.001291476,0.001291476,0,0.001317891,0,0,0.001610472,0.001831151,0.001391279,0.002179992,0.002098261,0.001653813,0.002288269,0.001852564,0.001390228,0,0.001558311,0.001594857,0
ko00730,Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001192132,0.001192132,0,0.001231284,0,0,0.001800848,0.002541748,0.001340063,0.003316295,0.003045987,0.001729199,0.003674402,0.002413725,0.001338505,0,0.001587642,0.001641812,0
ko00740,Riboflavin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000794755,0.000794755,0,0.000829999,0,0,0.001077702,0.00093765,0.000927921,0.001132741,0.001180314,0.00127822,0.001069715,0.001133974,0.000926519,0,0.001150791,0.001199554,0
ko00750,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000596066,0.000596066,0,0.0006225,0,0,0.000890133,0.001034359,0.000695941,0.001335779,0.001281606,0.000958665,0.001407548,0.001085365,0.000694889,0,0.000863093,0.000899666,0
ko00760,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Metabolism,0.003377707,0.003377707,0,0.003431494,0,0,0.003730327,0.00327547,0.003580932,0.003423157,0.003582678,0.00411552,0.003211822,0.003668171,0.003578792,0,0.003921052,0.003995469,0
ko00770,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.001589509,0.001589509,0,0.001673714,0,0,0.002392087,0.002442937,0.001907661,0.003148877,0.003123591,0.00274457,0.003182376,0.002763164,0.001904311,0,0.002440126,0.002556627,0
ko00780,Biotin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.00551361,0.00551361,0,0.005447824,0,0,0.005352026,0.006729639,0.005265048,0.007060039,0.006568882,0.004611197,0.007710729,0.00593225,0.005267665,0,0.004849049,0.00475803,0
ko00785,Lipoic acid metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000397377,0.000397377,0,0.00038757,0,0,0.000322749,0.000374219,0.000360323,0.000327711,0.000309968,0.000262849,0.000351218,0.000314765,0.000360713,0,0.000298307,0.000284738,0
ko00790,Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.002930658,0.002930658,0,0.002997192,0,0,0.003502064,0.003351154,0.003182046,0.003790051,0.003838954,0.003843331,0.003725264,0.003677958,0.003179399,0,0.003602775,0.003694828,0
ko00830,Retinol metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000397377,0.000397377,0,0.000415,0,0,0.000562239,0.000563431,0.000463961,0.000705291,0.000703406,0.00063911,0.000707789,0.000634097,0.000463259,0,0.000575396,0.000599777,0
ko00860,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism,0.00412279,0.00412279,0,0.004180475,0,0,0.00459146,0.004379206,0.004340742,0.004709067,0.004780814,0.004914074,0.004614016,0.004693976,0.004338447,0,0.004705512,0.004785322,0
ko00410,beta-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.009884761,0.009884761,0,0.009560232,0,0,0.006743122,0.006399569,0.008658588,0.003587013,0.003737662,0.0054331,0.003387431,0.005222375,0.008671498,0,0.00660644,0.006157439,0
ko00430,Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism,0.000794755,0.000794755,0,0.000836857,0,0,0.001149268,0.001032256,0.000953831,0.001296596,0.001335298,0.001372285,0.001245324,0.001247362,0.000952156,0,0.001220063,0.001278314,0
ko00440,Phosphonate and phosphinate metabolism,Metabolism of other amino acids,Metabolism,0.000496722,0.000496722,0,0.000481034,0,0,0.000391041,0.000515077,0.000437448,0.000466632,0.000423217,0.000281529,0.00052415,0.000403872,0.000438073,0,0.000338248,0.000316543,0
ko00450,Selenocompound metabolism,Metabolism of other amino acids,Metabolism,0.001589509,0.001589509,0,0.001653142,0,0,0.002434653,0.003199785,0.001829933,0.004185442,0.003904376,0.002462374,0.0045578,0.00316121,0.001827401,0,0.00223231,0.002320348,0
ko00460,Cyanoamino acid metabolism,Metabolism of other amino acids,Metabolism,0.00069541,0.00069541,0,0.000695391,0,0,0.00081389,0.001175217,0.000695338,0.001399897,0.00126965,0.000695149,0.001572449,0.001035639,0.000695339,0,0.000695218,0.000695191,0
ko00471,D-Glutamine and D-glutamate metabolism,Metabolism of other amino acids,Metabolism,0.000596066,0.000596066,0,0.000601927,0,0,0.000652047,0.000655935,0.000618212,0.000705291,0.000703406,0.000676469,0.000707789,0.000678091,0.000617979,0,0.000655277,0.000663386,0
ko00473,D-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.000397377,0.000397377,0,0.000408142,0,0,0.000490673,0.000468825,0.000438051,0.000541436,0.000548422,0.000545045,0.000532181,0.000520709,0.000437623,0,0.000506123,0.000521017,0
ko00480,Glutathione metabolism,Metabolism of other amino acids,Metabolism,0.002483608,0.002483608,0,0.002583462,0,0,0.00318446,0.002480779,0.002860889,0.002842538,0.003087947,0.003853338,0.002517418,0.003155478,0.002856917,0,0.003492314,0.003630467,0
ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001390821,0.001390821,0,0.001342781,0,0,0.000939715,0.000931343,0.00120931,0.000541436,0.000548422,0.000731841,0.000532181,0.000740681,0.001211221,0,0.00090553,0.000839065,0
ko00362,Benzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.016391814,0.016391814,0,0.0157164,0,0,0.009925244,0.009429063,0.013839882,0.003711685,0.003946337,0.007126942,0.003400816,0.006894581,0.01386675,0,0.009568916,0.008634447,0
ko00364,Fluorobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000645738,0.000645738,0,0.000628087,0,0,0.000483189,0.000489849,0.000579047,0.000352646,0.000351703,0.000403613,0.000353895,0.000416036,0.000579749,0,0.000467431,0.00044301,0
ko00365,Furfural degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000149016,0.000149016,0,0.000140196,0,0,6.74E-05,6.94E-05,0.000115689,0,0,2.80E-05,0,3.30E-05,0.00011604,0,5.99E-05,4.77E-05,0
ko00621,Dioxin degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001291476,0.001291476,0,0.001221887,0,0,0.000655321,0.00069588,0.001028546,0.000163856,0.000154984,0.0003369,0.000175609,0.000399352,0.001031315,0,0.000588501,0.000492221,0
ko00622,Xylene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.002384264,0.002384264,0,0.002249989,0,0,0.001172656,0.001299256,0.001876931,0.000302777,0.000268233,0.000542376,0.000348541,0.000708431,0.001882273,0,0.001027849,0.000842073,0
ko00623,Toluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001341148,0.001341148,0,0.001296049,0,0,0.000893875,0.000813611,0.001170747,0.000402515,0.000435173,0.000722501,0.000359249,0.000662572,0.001172541,0,0.00088556,0.000823162,0
ko00624,Polycyclic aromatic hydrocarbon degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000149016,0.000149016,0,0.000147053,0,0,0.000115535,6.94E-05,0.000141598,2.49E-05,4.17E-05,0.000122085,2.68E-06,7.93E-05,0.000141676,0,0.000129183,0.000126467,0
ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.00183787,0.00183787,0,0.001825084,0,0,0.001739104,0.001801718,0.001789562,0.001738294,0.00171678,0.001662486,0.001766797,0.00172594,0.001790071,0,0.001708713,0.001691023,0
ko00626,Naphthalene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000745082,0.000745082,0,0.000748981,0,0,0.000767582,0.000725313,0.000759811,0.000730226,0.000745141,0.000798554,0.000710466,0.000757365,0.000759656,0,0.00078446,0.000789853,0
ko00627,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.004073117,0.004073117,0,0.003969165,0,0,0.002991746,0.002653172,0.003680352,0.001610059,0.001740693,0.002647169,0.001436995,0.002364325,0.003684487,0,0.003023011,0.002879188,0
ko00633,Nitrotoluene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000198689,0.000198689,0,0.000214357,0,0,0.000352686,0.000376322,0.00025789,0.000516501,0.000506687,0.00041362,0.000529504,0.000430436,0.000257266,0,0.00035697,0.000378648,0
ko00642,Ethylbenzene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001440493,0.001440493,0,0.001389513,0,0,0.00093878,0.000859863,0.001247873,0.000402515,0.000435173,0.000741181,0.000359249,0.000684569,0.001249901,0,0.000925501,0.000854967,0
ko00643,Styrene degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.001688854,0.001688854,0,0.001650602,0,0,0.001267142,0.001070099,0.001544326,0.000641174,0.000715362,0.00116414,0.000542888,0.000991784,0.001545847,0,0.001302441,0.001249518,0
ko00791,Atrazine degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000794755,0.000794755,0,0.000781998,0,0,0.000646902,0.000559226,0.000746555,0.000402515,0.000435173,0.000619763,0.000359249,0.000541588,0.000747062,0,0.000665886,0.000648236,0
ko00930,Caprolactam degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.004917544,0.004917544,0,0.004736178,0,0,0.00315733,0.002951707,0.004232284,0.0013714,0.001460503,0.002429685,0.001253355,0.002299079,0.004239499,0,0.003085418,0.002834489,0
ko00980,Metabolism of xenobiotics by cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,0.001043115,0.001043115,0,0.001104803,0,0,0.001432259,0.000864068,0.001276193,0.001004506,0.001204227,0.00188931,0.000739913,0.001332414,0.001273739,0,0.001666276,0.001751624,0
ko00982,Drug metabolism - cytochrome P450,Xenobiotics biodegradation and metabolism,Metabolism,0.001043115,0.001043115,0,0.001104803,0,0,0.001432259,0.000864068,0.001276193,0.001004506,0.001204227,0.00188931,0.000739913,0.001332414,0.001273739,0,0.001666276,0.001751624,0
ko00983,Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism,0.001241804,0.001241804,0,0.001332875,0,0,0.002068402,0.001997238,0.001585901,0.002682245,0.002700375,0.00249106,0.002658226,0.002392287,0.001582278,0,0.00216179,0.002287792,0
ko00984,Steroid degradation,Xenobiotics biodegradation and metabolism,Metabolism,0.000496722,0.000496722,0,0.000494749,0,0,0.000440623,0.000325865,0.000489267,0.000238659,0.000280189,0.000469659,0.00018364,0.000362208,0.000489346,0,0.000476792,0.000474062,0
