pathway,level1,level2,level3,TSA1,TSA2,TSA3,TSA4,TSA5,TSJ1,TSJ2,TSJ3,TSJ4,TSJ5,TSO1,TSO2,TSO3,TSO4,TSO5
ko00500,Starch and sucrose metabolism,Carbohydrate metabolism,Metabolism,0.006016786,0.006670182,0.006954057,0.007239799,0.006096907,0.008389262,0.008389262,0.008389262,0.008353401,0.008383754,0.007815333,0.007675355,0.006461869,0.005887646,0.007941401
ko00520,Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism,0.011556181,0.009774833,0.010435734,0.011043002,0.009293902,0.012224353,0.012224353,0.012224353,0.012214253,0.012222802,0.011365695,0.011156273,0.009340771,0.008481672,0.011554305
ko00562,Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism,0.000651417,0.001405404,0.00129252,0.001196693,0.00137129,0.001198466,0.001198466,0.001198466,0.001190197,0.001197196,0.001280099,0.001300009,0.001472609,0.001554284,0.001262168
ko00620,Pyruvate metabolism,Carbohydrate metabolism,Metabolism,0.009306794,0.011016631,0.010712277,0.010448238,0.011008163,0.010306807,0.010306807,0.010306807,0.010291692,0.010304486,0.010573614,0.010638687,0.011202809,0.011469752,0.010515008
ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism,0.007936937,0.009928502,0.009478945,0.009079561,0.010054041,0.008628955,0.008628955,0.008628955,0.008618495,0.008627348,0.009100267,0.009215218,0.010211736,0.01068329,0.00899674
ko00640,Propanoate metabolism,Carbohydrate metabolism,Metabolism,0.008259118,0.009832467,0.009345367,0.008902369,0.010119596,0.008149569,0.008149569,0.008149569,0.008151224,0.008149823,0.00874476,0.008889924,0.010148366,0.010743863,0.008614022
ko00650,Butanoate metabolism,Carbohydrate metabolism,Metabolism,0.006217855,0.008122698,0.007562485,0.007054667,0.008428279,0.006232023,0.006232023,0.006232023,0.006231809,0.00623199,0.006902766,0.007066357,0.008484543,0.00915563,0.006755433
ko00660,C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism,0.001786105,0.001805546,0.001778034,0.001751794,0.00183971,0.001677852,0.001677852,0.001677852,0.001679489,0.001678104,0.001721508,0.001732155,0.001824459,0.001868137,0.001711919
ko00190,Oxidative phosphorylation,Energy metabolism,Metabolism,0.006453024,0.007142091,0.007134938,0.007140124,0.006974151,0.007430489,0.007430489,0.007430489,0.007415714,0.00742822,0.007342935,0.007321581,0.007136462,0.007048864,0.007362167
ko00195,Photosynthesis,Energy metabolism,Metabolism,0.002041263,0.001871246,0.001896627,0.001918165,0.001879043,0.001917546,0.001917546,0.001917546,0.001919416,0.001917833,0.001899262,0.001894802,0.001856143,0.00183785,0.001903278
ko00680,Methane metabolism,Energy metabolism,Metabolism,0.004176593,0.005013462,0.004793811,0.004596284,0.005110007,0.004314477,0.004314477,0.004314477,0.004312393,0.004314157,0.00456445,0.004625418,0.005153948,0.005404049,0.004509542
ko00710,Carbon fixation in photosynthetic organisms,Energy metabolism,Metabolism,0.003411119,0.00309394,0.003224748,0.003345562,0.002989603,0.003595398,0.003595398,0.003595398,0.003592612,0.00359497,0.003420332,0.003377634,0.003007483,0.002832327,0.003458786
ko00720,Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism,0.007701769,0.007491182,0.007498886,0.007502633,0.007534646,0.007430489,0.007430489,0.007430489,0.007434589,0.007431119,0.007447927,0.007452179,0.007489048,0.007506495,0.007444096
ko00910,Nitrogen metabolism,Energy metabolism,Metabolism,0.004136614,0.005450651,0.005483536,0.005538378,0.005064119,0.006232023,0.006232023,0.006232023,0.00620035,0.006227158,0.005986479,0.005926592,0.005407427,0.005161757,0.006040415
ko00920,Sulfur metabolism,Energy metabolism,Metabolism,0.00818504,0.007024176,0.00707103,0.007095918,0.007257527,0.006711409,0.006711409,0.006711409,0.006733684,0.006714831,0.00680013,0.006821768,0.007009354,0.00709812,0.006780642
ko00130,Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.003478142,0.00260925,0.002745086,0.002861072,0.002640374,0.002876318,0.002876318,0.002876318,0.002885415,0.002877716,0.002772535,0.002747223,0.002527789,0.002423952,0.002795332
ko00670,One carbon pool by folate,Metabolism of cofactors and vitamins,Metabolism,0.00445174,0.003111235,0.003335303,0.003528257,0.003138591,0.003595398,0.003595398,0.003595398,0.003608342,0.003597386,0.003410787,0.003365761,0.002975429,0.002790724,0.003451338
ko00730,Thiamine metabolism,Metabolism of cofactors and vitamins,Metabolism,0.003202995,0.003031272,0.00316093,0.003283187,0.002890973,0.003595398,0.003595398,0.003595398,0.003589467,0.003594487,0.003401242,0.003353889,0.002943376,0.002749121,0.00344389
ko00740,Riboflavin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001786105,0.001509505,0.001569501,0.001622611,0.001495546,0.001677852,0.001677852,0.001677852,0.001679489,0.001678104,0.001616517,0.001601557,0.001471872,0.001410505,0.00162999
ko00750,Vitamin B6 metabolism,Metabolism of cofactors and vitamins,Metabolism,0.001483913,0.001063991,0.001130725,0.001187829,0.001077485,0.001198466,0.001198466,0.001198466,0.001202781,0.001199129,0.001146474,0.001133793,0.001023863,0.000971844,0.001157894
ko00760,Nicotinate and nicotinamide metabolism,Metabolism of cofactors and vitamins,Metabolism,0.003780334,0.003754497,0.003676757,0.003601194,0.003871913,0.003355705,0.003355705,0.003355705,0.003362123,0.003356691,0.003490739,0.003523673,0.003809183,0.003944287,0.003461078
ko00770,Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.003827367,0.003434577,0.003504043,0.003564264,0.003437164,0.003595398,0.003595398,0.003595398,0.003598904,0.003595936,0.003534868,0.003520105,0.003392122,0.003331561,0.003548163
ko00780,Biotin metabolism,Metabolism of cofactors and vitamins,Metabolism,0.004136614,0.00620421,0.006014347,0.005867207,0.005940171,0.006232023,0.006232023,0.006232023,0.00620035,0.006227158,0.00625373,0.006259024,0.006304919,0.006326637,0.006248962
ko00785,Lipoic acid metabolism,Metabolism of cofactors and vitamins,Metabolism,0.000510316,0.00040053,0.000426763,0.000450182,0.000391542,0.000479386,0.000479386,0.000479386,0.000479854,0.000479458,0.000450954,0.000444019,0.000383903,0.000355455,0.000457199
ko00790,Folate biosynthesis,Metabolism of cofactors and vitamins,Metabolism,0.006520047,0.005500151,0.005840102,0.006150647,0.005279556,0.006711409,0.006711409,0.006711409,0.006708517,0.006710965,0.006284718,0.006180651,0.005278477,0.004851567,0.006378444
ko00830,Retinol metabolism,Metabolism of cofactors and vitamins,Metabolism,4.70E-05,0.000379813,0.000320182,0.00026841,0.000378729,0.000239693,0.000239693,0.000239693,0.000236781,0.000239246,0.000292289,0.000305117,0.000416324,0.000468948,0.000280736
ko00860,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism,0.011670237,0.00999291,0.010503745,0.010967849,0.009698853,0.011744966,0.011744966,0.011744966,0.011743837,0.011744793,0.011124724,0.01097345,0.00966204,0.009041479,0.011260964
ko00410,beta-Alanine metabolism,Metabolism of other amino acids,Metabolism,0.003250029,0.004945116,0.004561691,0.004220997,0.005053094,0.003835091,0.003835091,0.003835091,0.003826248,0.003833733,0.004237577,0.004335742,0.005186738,0.005589431,0.004149168
ko00430,Taurine and hypotaurine metabolism,Metabolism of other amino acids,Metabolism,0.001947195,0.001380749,0.001445839,0.001498783,0.001434461,0.001438159,0.001438159,0.001438159,0.001445853,0.001439341,0.001410129,0.001403293,0.001344028,0.001315983,0.001416286
ko00440,Phosphonate and phosphinate metabolism,Metabolism of other amino acids,Metabolism,0.000557349,0.000861081,0.000803817,0.000753823,0.000864133,0.00071908,0.00071908,0.00071908,0.000716635,0.000718704,0.000771877,0.000784754,0.000896387,0.000949212,0.00076028
ko00450,Selenocompound metabolism,Metabolism of other amino acids,Metabolism,0.006076754,0.00450728,0.004857848,0.005169,0.004413635,0.005512943,0.005512943,0.005512943,0.005521466,0.005514252,0.005147789,0.00505873,0.004286667,0.003921325,0.005227998
ko00460,Cyanoamino acid metabolism,Metabolism of other amino acids,Metabolism,0.001833139,0.001512538,0.001624277,0.001726607,0.001436249,0.001917546,0.001917546,0.001917546,0.00191627,0.00191735,0.001775181,0.001740459,0.001439451,0.001297013,0.001806452
